Date : 2021-12-23 01:35:43
Directory : /Users/senyunyao/Dev Local/tianyu-native
Total : 96 files,  5151 codes, 848 comments, 1235 blanks, all 7234 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| C++          |         80 |      5,030 |        833 |      1,221 |      7,084 |
| JSON         |         10 |        120 |          0 |         10 |        130 |
| Markdown     |          1 |          1 |          0 |          0 |          1 |
| Java         |          1 |          0 |          0 |          1 |          1 |
| PowerShell   |          1 |          0 |          0 |          1 |          1 |
| Shell Script |          1 |          0 |          0 |          1 |          1 |
| Batch        |          1 |          0 |          0 |          1 |          1 |
| C            |          1 |          0 |         15 |          0 |         15 |
+--------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                               | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                  |         96 |      5,151 |        848 |      1,235 |      7,234 |
| build                                                                                              |          6 |         27 |          0 |          6 |         33 |
| build/com                                                                                          |          1 |          0 |          0 |          1 |          1 |
| build/com/builder                                                                                  |          1 |          0 |          0 |          1 |          1 |
| config                                                                                             |          1 |         18 |          0 |          1 |         19 |
| native                                                                                             |         81 |      5,034 |        848 |      1,201 |      7,083 |
| native/io                                                                                          |          2 |         19 |          0 |          2 |         21 |
| native/model                                                                                       |          6 |         24 |          0 |          6 |         30 |
| native/prime                                                                                       |         64 |      4,861 |        800 |      1,150 |      6,811 |
| native/prime/core                                                                                  |         31 |      1,689 |        627 |        448 |      2,764 |
| native/prime/core/internal                                                                         |          8 |        410 |        258 |        129 |        797 |
| native/prime/core/internal/res                                                                     |          2 |        104 |         20 |         25 |        149 |
| native/prime/core/internal/src                                                                     |          3 |         91 |          0 |         40 |        131 |
| native/prime/core/res                                                                              |          9 |        296 |         61 |         74 |        431 |
| native/prime/core/src                                                                              |          6 |        236 |         31 |         51 |        318 |
| native/prime/src                                                                                   |          9 |      1,606 |         22 |        390 |      2,018 |
| native/text                                                                                        |          6 |         19 |         15 |          5 |         39 |
| native/text/src                                                                                    |          1 |          0 |         15 |          0 |         15 |
| test                                                                                               |          7 |         71 |          0 |         27 |         98 |
| test/prime                                                                                         |          6 |         71 |          0 |         26 |         97 |
| test/prime/core                                                                                    |          3 |         59 |          0 |         22 |         81 |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| filename                                                                                           | language     | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| /Users/senyunyao/Dev Local/tianyu-native/README.md                                                 | Markdown     |          1 |          0 |          0 |          1 |
| /Users/senyunyao/Dev Local/tianyu-native/build/build.bat                                           | Batch        |          0 |          0 |          1 |          1 |
| /Users/senyunyao/Dev Local/tianyu-native/build/build.json                                          | JSON         |         14 |          0 |          1 |         15 |
| /Users/senyunyao/Dev Local/tianyu-native/build/build.ps1                                           | PowerShell   |          0 |          0 |          1 |          1 |
| /Users/senyunyao/Dev Local/tianyu-native/build/build.sh                                            | Shell Script |          0 |          0 |          1 |          1 |
| /Users/senyunyao/Dev Local/tianyu-native/build/com/builder/builder.java                            | Java         |          0 |          0 |          1 |          1 |
| /Users/senyunyao/Dev Local/tianyu-native/build/test.json                                           | JSON         |         13 |          0 |          1 |         14 |
| /Users/senyunyao/Dev Local/tianyu-native/config/.prettierrc                                        | JSON         |         18 |          0 |          1 |         19 |
| /Users/senyunyao/Dev Local/tianyu-native/native/console.hpp                                        | C++          |         20 |         11 |         10 |         41 |
